gid,geom,pop,volcano_id,source,buffer_km
30040773,POINT (125.44583211155003 3.729166987749998),247,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040770,POINT (125.42083211165001 3.7291669877499984),142,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30040771,POINT (125.42916544495 3.729166987749998),23,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042814,POINT (125.40416544505001 3.7208336544499967),10,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042815,POINT (125.41249877835004 3.7208336544499967),919,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042816,POINT (125.42083211165001 3.720833654449997),77,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042817,POINT (125.42916544495 3.7208336544499967),2,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042818,POINT (125.45416544485002 3.720833654449997),8,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042819,POINT (125.46249877815002 3.7208336544499967),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042820,POINT (125.47083211145004 3.7208336544499967),14,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042821,POINT (125.47916544475005 3.7208336544499967),20,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042822,POINT (125.48749877805002 3.720833654449997),37,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042823,POINT (125.49583211135001 3.7208336544499967),109,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042825,POINT (125.51249877795001 3.720833654449997),93,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30042824,POINT (125.50416544465003 3.7208336544499967),282,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30036769,POINT (125.56249877775002 3.7458336543499944),29,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30036768,POINT (125.55416544445 3.7458336543499944),145,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30038738,POINT (125.43749877825002 3.7375003210499993),185,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30038739,POINT (125.44583211155003 3.7375003210499993),772,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30038740,POINT (125.45416544485002 3.7375003210499997),586,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30038741,POINT (125.46249877815002 3.7375003210499993),62,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30038737,POINT (125.42916544495 3.7375003210499993),6,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30073333,POINT (125.47916544475005 3.5958336549499923),14,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30073334,POINT (125.48749877805002 3.595833654949992),230,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30073335,POINT (125.49583211135001 3.5958336549499923),357,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30071283,POINT (125.48749877805002 3.6041669882499936),999,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
